Date,NVDA_Close,BTC_Close
2023-04-01,27.73098945617676,29268.806640625
2023-05-01,37.80944442749024,27219.658203125
2023-06-01,42.274539947509766,30477.251953125
2023-07-01,46.7035026550293,29230.111328125
2023-08-01,49.32807540893555,25931.47265625
2023-09-01,43.47526168823242,26967.916015625
2023-10-01,40.7611083984375,34667.78125
2023-11-01,46.74833297729492,37712.74609375
2023-12-01,49.49905776977539,42265.1875
2024-01-01,61.50391006469727,42582.60546875
2024-02-01,79.08230590820312,61198.3828125
2024-03-01,90.32209014892578,71333.6484375
2024-04-01,86.37361907958984,60636.85546875
2024-05-01,109.59698486328124,67491.4140625
2024-06-01,123.4994125366211,62678.29296875
2024-07-01,116.99115753173828,64619.25
2024-08-01,119.34059143066406,58969.8984375
2024-09-01,121.41007995605467,63329.5
2024-10-01,132.7386474609375,70215.1875
2024-11-01,138.22776794433594,96449.0546875
2024-12-01,134.26840209960938,93429.203125
2025-01-01,120.0589599609375,102405.0234375
2025-02-01,124.90850830078124,84373.0078125
2025-03-01,120.67890167236328,87471.703125
